City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Alofi,NU,76.89,few clouds,-19.0595,-169.9187,Taloa Heights
3,Samarai,PG,79.54,broken clouds,-10.6167,150.6667,Nuli Sapi
7,Kapaa,US,86.32,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
9,Tra Vinh,VN,78.53,overcast clouds,9.9347,106.3453,Hồng Ân
12,Touros,BR,76.1,few clouds,-5.1989,-35.4608,INN NEW HORIZON
30,Port Blair,IN,81.21,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
36,La Ronge,CA,84.45,smoke,55.1001,-105.2842,Northland Motor Hotel
42,Hami,CN,76.1,clear sky,42.8,93.45,Laoyutang Resort
50,Panukulan,PH,84.06,overcast clouds,14.9333,121.8144,AC Lodging House
54,Riohacha,CO,78.17,overcast clouds,11.5444,-72.9072,Hotel Taroa
56,Sinnamary,GF,78.62,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
64,Paragominas,BR,76.59,few clouds,-2.9667,-47.4833,INOVA
65,Smithers,CA,84.52,few clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
67,Marsh Harbour,BS,83.82,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
68,Dasoguz,TM,78.75,clear sky,41.8363,59.9666,Ташауз Отел
69,Punta Cardon,VE,82.2,scattered clouds,11.6581,-70.215,Bambuda hotel
71,Lorengau,PG,82.51,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
72,Katsuura,JP,86.14,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
73,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
76,Sakaiminato,JP,80.58,broken clouds,35.55,133.2333,味処・民宿 まつや
84,Loreto,MX,79.43,overcast clouds,22.2667,-101.9667,José de Jesús Velásquez mora
86,Puerto Palomas,MX,85.33,few clouds,31.7667,-107.6167,Hotel San Carlos
90,Srivardhan,IN,79.34,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
93,Thompson,CA,78.96,smoke,55.7435,-97.8558,Burntwood Hotel
96,Faanui,PF,79.03,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
99,Jishou,CN,78.03,clear sky,28.3167,109.7167,7 Days Inn
109,Dabakala,CI,76.55,overcast clouds,8.3667,-4.4333,Hôtel Campement
119,Atuona,PF,77.67,few clouds,-9.8,-139.0333,Villa Enata
120,Kloulklubed,PW,79.3,broken clouds,7.0419,134.2556,Storyboard Beach Resort
121,Kimbe,PG,81.28,light rain,-5.5502,150.1429,Kimbe Bay Hotel
122,Frolovo,RU,81.59,few clouds,49.7713,43.6622,Gostinitsa Frolovo
123,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
128,Anito,PH,83.25,overcast clouds,12.4497,125.2886,The Yellow House
131,Hithadhoo,MV,81.59,overcast clouds,-0.6,73.0833,Scoop Guest House
132,Hasaki,JP,84.29,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
134,Butaritari,KI,82.85,light rain,3.0707,172.7902,Isles Sunset Lodge
136,Port Keats,AU,77.29,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
137,Portage,US,75.47,clear sky,41.1667,-81.1998,Rocking Horse Inn
142,Hilo,US,77.4,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
148,Mana,GF,77.38,scattered clouds,5.6592,-53.7767,LE SAMANA
154,Hamilton,US,78.24,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
158,Lander,US,89.06,clear sky,42.833,-108.7307,"Holiday Inn Express & Suites Lander, an IHG Hotel"
159,Tabuk,PH,78.67,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
163,Muroto,JP,78.84,broken clouds,33.2833,134.15,Oota Ryokan
168,Kerema,PG,76.32,overcast clouds,-7.9631,145.7785,Frena Lodge
169,Yarmouth,US,79.27,broken clouds,41.7057,-70.2286,Blue Rock Resort
172,Bubaque,GW,79.47,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
173,Mitsamiouli,KM,75.54,clear sky,-11.3847,43.2844,Foyer ADM
