City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Caravelas,BR,-17.7125,-39.2481,66.78,75,80,4.56,broken clouds
1,Alofi,NU,-19.0595,-169.9187,76.89,73,20,10.36,few clouds
2,Bethanien,NA,-26.502,17.1583,58.37,24,0,6.96,clear sky
3,Samarai,PG,-10.6167,150.6667,79.54,78,75,14.67,broken clouds
4,Hobart,AU,-42.8794,147.3294,45.27,88,75,1.01,broken clouds
5,Longyearbyen,SJ,78.2186,15.6401,46.24,76,75,14.97,light rain
6,Saint George,US,37.1041,-113.5841,104.38,18,20,4.0,few clouds
7,Kapaa,US,22.0752,-159.319,86.32,81,1,4.0,clear sky
8,Rochegda,RU,62.8,43.25,60.22,82,100,7.72,overcast clouds
9,Tra Vinh,VN,9.9347,106.3453,78.53,85,100,8.72,overcast clouds
10,Punta Arenas,CL,-53.15,-70.9167,39.31,87,40,28.77,scattered clouds
11,Yellowknife,CA,62.456,-114.3525,90.28,23,75,13.8,smoke
12,Touros,BR,-5.1989,-35.4608,76.1,81,20,16.44,few clouds
13,Dikson,RU,73.5069,80.5464,50.81,81,84,8.34,broken clouds
14,Saint-Philippe,RE,-21.3585,55.7679,66.22,69,9,1.16,clear sky
15,Mar Del Plata,AR,-38.0023,-57.5575,53.13,50,0,8.99,clear sky
16,Broome,US,42.2506,-75.833,72.18,57,20,4.0,few clouds
17,Tonota,BW,-21.4833,27.4833,55.09,23,0,7.83,clear sky
18,Conceicao Do Castelo,BR,-20.3683,-41.2439,46.09,93,52,2.53,broken clouds
19,Tura,IN,25.5198,90.2201,73.8,98,100,3.56,overcast clouds
20,Mataura,NZ,-46.1927,168.8643,48.47,91,100,2.71,overcast clouds
21,Vaini,TO,-21.2,-175.2,73.56,73,75,14.97,broken clouds
22,Lihula,EE,58.6814,23.8453,61.95,88,13,7.02,few clouds
23,Rio Grande,BR,-32.035,-52.0986,50.95,92,8,6.98,clear sky
24,Chokurdakh,RU,70.6333,147.9167,50.05,47,62,9.42,broken clouds
25,Rikitea,PF,-23.1203,-134.9692,69.08,54,79,20.42,broken clouds
26,Concepcion Del Uruguay,AR,-32.4825,-58.2372,54.86,70,0,4.14,clear sky
27,San Rafael,AR,-34.6177,-68.3301,59.22,27,0,11.12,clear sky
28,Richards Bay,ZA,-28.783,32.0377,64.15,82,96,4.5,light rain
29,Fontem,CM,5.4685,9.8818,66.11,97,100,0.83,light rain
30,Port Blair,IN,11.6667,92.75,81.21,82,99,22.03,overcast clouds
31,Bluff,NZ,-46.6,168.3333,48.79,65,79,8.88,broken clouds
32,Saint-Pierre,RE,-21.3393,55.4781,66.29,61,0,8.05,clear sky
33,Izhma,RU,65.0083,53.9113,54.64,96,16,3.31,few clouds
34,Coihaique,CL,-45.5752,-72.0662,47.01,57,20,3.44,few clouds
35,East London,ZA,-33.0153,27.9116,59.45,80,50,18.05,scattered clouds
36,La Ronge,CA,55.1001,-105.2842,84.45,28,40,3.44,smoke
37,Frydlant,CZ,50.9214,15.0797,58.96,86,12,1.99,few clouds
38,Haines Junction,CA,60.7522,-137.5108,71.55,53,95,5.75,overcast clouds
39,Jamestown,US,42.097,-79.2353,72.72,52,75,1.99,broken clouds
40,Sitka,US,57.0531,-135.33,62.49,72,90,14.97,overcast clouds
41,Ponta Do Sol,PT,32.6667,-17.1,72.23,77,9,7.2,clear sky
42,Hami,CN,42.8,93.45,76.1,22,1,6.35,clear sky
43,Kodiak,US,57.79,-152.4072,56.71,77,90,6.91,overcast clouds
44,Lebu,CL,-37.6167,-73.65,52.45,78,17,20.4,few clouds
45,Farah,AF,32.5,62.5,78.3,16,0,4.68,clear sky
46,Lompoc,US,34.6391,-120.4579,92.01,65,1,13.8,clear sky
47,San Patricio,US,28.017,-97.5169,96.78,51,51,13.47,broken clouds
48,Airai,TL,-8.9266,125.4092,60.49,71,75,3.33,broken clouds
49,Esperance,AU,-33.8667,121.9,44.44,80,98,13.15,overcast clouds
50,Panukulan,PH,14.9333,121.8144,84.06,76,100,12.03,overcast clouds
51,Port Elizabeth,ZA,-33.918,25.5701,57.49,82,75,11.5,broken clouds
52,Poddorye,RU,57.4695,31.1156,57.43,94,95,11.52,light rain
53,Ushuaia,AR,-54.8,-68.3,40.66,70,75,23.02,heavy intensity rain
54,Riohacha,CO,11.5444,-72.9072,78.17,90,100,4.43,overcast clouds
55,Yulara,AU,-25.2406,130.9889,35.44,75,0,8.05,clear sky
56,Sinnamary,GF,5.3833,-52.95,78.62,83,46,8.21,scattered clouds
57,New Norfolk,AU,-42.7826,147.0587,44.91,80,100,1.7,overcast clouds
58,Sukhumi,GE,43.0033,41.0153,71.46,90,89,4.76,overcast clouds
59,Valleyview,CA,55.0667,-117.2859,71.64,88,100,5.75,overcast clouds
60,Margate,GB,51.3813,1.3862,62.04,75,100,1.99,overcast clouds
61,Tiksi,RU,71.6872,128.8694,50.65,61,60,4.54,broken clouds
62,Salta,AR,-24.7859,-65.4117,59.59,42,0,1.99,clear sky
63,Cape Town,ZA,-33.9258,18.4232,57.11,94,0,4.61,mist
64,Paragominas,BR,-2.9667,-47.4833,76.59,54,22,3.33,few clouds
65,Smithers,CA,54.7804,-127.1743,84.52,34,20,4.61,few clouds
66,Isangel,VU,-19.55,169.2667,73.51,73,20,9.22,few clouds
67,Marsh Harbour,BS,26.5412,-77.0636,83.82,73,100,9.46,overcast clouds
68,Dasoguz,TM,41.8363,59.9666,78.75,41,0,9.22,clear sky
