City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mayskiy,47.6931,40.1025,78.44,74,1,1.43,RU,2021-07-30 23:11:41
1,Lebu,-37.6167,-73.65,50.07,92,99,14.25,CL,2021-07-30 23:11:41
2,Provideniya,64.3833,-173.3,47.21,94,100,4.76,RU,2021-07-30 23:11:41
3,Biak,-0.9131,122.8766,76.23,84,65,4.7,ID,2021-07-30 23:07:46
4,Punta Arenas,-53.15,-70.9167,37.11,75,40,10.36,CL,2021-07-30 23:08:56
5,Hilo,19.7297,-155.09,83.12,74,90,10.36,US,2021-07-30 23:06:48
6,Ushuaia,-54.8,-68.3,37.06,65,40,13.8,AR,2021-07-30 23:08:23
7,Butaritari,3.0707,172.7902,81.23,76,96,8.32,KI,2021-07-30 23:11:42
8,Port Alfred,-33.5906,26.891,57.88,73,24,6.35,ZA,2021-07-30 23:11:42
9,Saint George,37.1041,-113.5841,99.07,29,1,6.91,US,2021-07-30 23:11:42
10,Suamico,44.6319,-88.0393,77.13,58,1,3.44,US,2021-07-30 23:11:42
11,Gold Coast,-28.0,153.4333,66.18,67,40,1.99,AU,2021-07-30 23:11:43
12,Severo-Kurilsk,50.6789,156.125,55.94,93,99,14.63,RU,2021-07-30 23:09:37
13,Vaini,-21.2,-175.2,71.76,94,90,10.36,TO,2021-07-30 23:11:43
14,Lensk,60.7253,114.9278,65.14,42,7,4.54,RU,2021-07-30 23:11:43
15,Kodiak,57.79,-152.4072,54.91,76,90,3.44,US,2021-07-30 23:06:58
16,Rikitea,-23.1203,-134.9692,71.98,76,84,10.78,PF,2021-07-30 23:11:44
17,Vanimo,-2.6741,141.3028,81.23,77,41,2.84,PG,2021-07-30 23:11:44
18,Suluova,40.8313,35.6479,60.66,77,0,4.61,TR,2021-07-30 23:11:44
19,Geraldton,-28.7667,114.6,56.12,71,40,12.66,AU,2021-07-30 23:08:20
20,Qaanaaq,77.484,-69.3632,41.85,90,99,0.72,GL,2021-07-30 23:11:45
21,Erdenet,49.0333,104.0833,52.07,87,12,4.03,MN,2021-07-30 23:10:10
22,New Norfolk,-42.7826,147.0587,54.9,77,85,1.01,AU,2021-07-30 23:11:45
23,Hofn,64.2539,-15.2082,50.25,85,13,7.07,IS,2021-07-30 23:11:45
24,Filadelfia,39.9523,-75.1638,84.0,43,20,3.0,US,2021-07-30 23:07:13
25,Upernavik,72.7868,-56.1549,40.73,86,70,14.03,GL,2021-07-30 23:08:50
26,Ribeira Grande,38.5167,-28.7,71.38,85,13,6.82,PT,2021-07-30 23:11:46
27,Sechura,-5.5569,-80.8222,72.54,66,72,16.2,PE,2021-07-30 23:11:46
28,Albany,42.6001,-73.9662,71.46,54,20,4.0,US,2021-07-30 23:10:28
29,Mataura,-46.1927,168.8643,49.48,99,100,1.74,NZ,2021-07-30 23:11:46
30,Saint-Philippe,-21.3585,55.7679,67.59,74,80,14.52,RE,2021-07-30 23:08:20
31,Yulara,-25.2406,130.9889,61.21,47,1,6.58,AU,2021-07-30 23:11:47
32,Rio Grande,-32.035,-52.0986,46.94,69,0,8.84,BR,2021-07-30 23:10:06
33,Bethel,41.3712,-73.414,77.58,54,20,1.99,US,2021-07-30 23:11:47
34,Grand Gaube,-20.0064,57.6608,66.38,71,55,5.01,MU,2021-07-30 23:08:26
35,Bethanien,-26.502,17.1583,54.36,27,0,6.38,NA,2021-07-30 23:11:47
36,Cabo San Lucas,22.8909,-109.9124,95.61,66,1,4.0,MX,2021-07-30 23:07:51
37,Scarborough,54.2797,-0.4044,58.91,92,94,1.01,GB,2021-07-30 23:11:48
38,Port Elizabeth,-33.918,25.5701,55.09,77,5,7.45,ZA,2021-07-30 23:08:59
39,Nola,40.922,14.5329,84.27,47,0,0.87,IT,2021-07-30 23:11:48
40,Svetlaya,46.5389,138.3297,65.35,97,100,12.17,RU,2021-07-30 23:11:48
41,Ridgecrest,35.6225,-117.6709,102.06,20,75,4.0,US,2021-07-30 23:10:11
42,Bluff,-46.6,168.3333,49.8,90,100,8.99,NZ,2021-07-30 23:11:49
43,Usvyaty,55.7456,30.7533,62.49,69,58,7.87,RU,2021-07-30 23:11:49
44,Leningradskiy,69.3833,178.4167,33.31,98,100,19.95,RU,2021-07-30 23:11:49
45,San Cristobal,7.7669,-72.225,80.78,95,53,4.59,VE,2021-07-30 23:09:38
46,Atuona,-9.8,-139.0333,77.18,75,34,15.52,PF,2021-07-30 23:07:02
47,Torres,-29.3353,-49.7269,46.83,76,0,2.17,BR,2021-07-30 23:11:50
48,Lago Da Pedra,-4.3333,-45.1667,75.18,88,59,2.19,BR,2021-07-30 23:11:50
